Year,Site_Type,Species,Density,SE,Samples_n
2015,Reference,Austruca occidentalis,14.5,1.45,45
2015,Degraded,Austruca occidentalis,4,0.4,32
2015,Rehabilitated,Austruca occidentalis,3.8,0.38,50
2015,Reference,Paraleptuca chlorophthalmus,9.5,0.95,45
2015,Degraded,Paraleptuca chlorophthalmus,0.8,0.08,32
2015,Rehabilitated,Paraleptuca chlorophthalmus,0.5,0.05,50
2015,Reference,Perisesarma guttatum,7.5,0.75,45
2015,Degraded,Perisesarma guttatum,0.2,0.02,32
2015,Rehabilitated,Perisesarma guttatum,0.1,0.01,50
2015,Reference,Neosarmatium africanum,4,0.4,45
2015,Degraded,Neosarmatium africanum,0,0,32
2015,Rehabilitated,Neosarmatium africanum,0,0,50
2015,Reference,Tubuca urvillei,2,0.2,45
2015,Degraded,Tubuca urvillei,0.5,0.05,32
2015,Rehabilitated,Tubuca urvillei,0.4,0.04,50
2016,Reference,Austruca occidentalis,14.2,1.42,48
2016,Degraded,Austruca occidentalis,3.9,0.39,35
2016,Rehabilitated,Austruca occidentalis,4.2,0.42,52
2016,Reference,Paraleptuca chlorophthalmus,9.8,0.98,48
2016,Degraded,Paraleptuca chlorophthalmus,0.7,0.07,35
2016,Rehabilitated,Paraleptuca chlorophthalmus,0.8,0.08,52
2016,Reference,Perisesarma guttatum,7.2,0.72,48
2016,Degraded,Perisesarma guttatum,0.2,0.02,35
2016,Rehabilitated,Perisesarma guttatum,0.2,0.02,52
2016,Reference,Neosarmatium africanum,4.2,0.42,48
2016,Degraded,Neosarmatium africanum,0,0,35
2016,Rehabilitated,Neosarmatium africanum,0,0,52
2016,Reference,Tubuca urvillei,1.9,0.19,48
2016,Degraded,Tubuca urvillei,0.5,0.05,35
2016,Rehabilitated,Tubuca urvillei,0.5,0.05,52
2017,Reference,Austruca occidentalis,14.8,1.48,42
2017,Degraded,Austruca occidentalis,4.1,0.41,30
2017,Rehabilitated,Austruca occidentalis,4.9,0.49,55
2017,Reference,Paraleptuca chlorophthalmus,9.4,0.94,42
2017,Degraded,Paraleptuca chlorophthalmus,0.6,0.06,30
2017,Rehabilitated,Paraleptuca chlorophthalmus,1.4,0.14,55
2017,Reference,Perisesarma guttatum,7.8,0.78,42
2017,Degraded,Perisesarma guttatum,0.1,0.01,30
2017,Rehabilitated,Perisesarma guttatum,0.4,0.04,55
2017,Reference,Neosarmatium africanum,3.9,0.39,42
2017,Degraded,Neosarmatium africanum,0,0,30
2017,Rehabilitated,Neosarmatium africanum,0.1,0.01,55
2017,Reference,Tubuca urvillei,2.1,0.21,42
2017,Degraded,Tubuca urvillei,0.6,0.06,30
2017,Rehabilitated,Tubuca urvillei,0.6,0.06,55
2018,Reference,Austruca occidentalis,14.1,1.41,46
2018,Degraded,Austruca occidentalis,3.8,0.38,33
2018,Rehabilitated,Austruca occidentalis,5.8,0.58,49
2018,Reference,Paraleptuca chlorophthalmus,9.6,0.96,46
2018,Degraded,Paraleptuca chlorophthalmus,0.5,0.05,33
2018,Rehabilitated,Paraleptuca chlorophthalmus,2.2,0.22,49
2018,Reference,Perisesarma guttatum,7.5,0.75,46
2018,Degraded,Perisesarma guttatum,0.1,0.01,33
2018,Rehabilitated,Perisesarma guttatum,0.8,0.08,49
2018,Reference,Neosarmatium africanum,4.1,0.41,46
2018,Degraded,Neosarmatium africanum,0,0,33
2018,Rehabilitated,Neosarmatium africanum,0.2,0.02,49
2018,Reference,Tubuca urvillei,1.8,0.18,46
2018,Degraded,Tubuca urvillei,0.4,0.04,33
2018,Rehabilitated,Tubuca urvillei,0.7,0.07,49
2019,Reference,Austruca occidentalis,14.6,1.46,50
2019,Degraded,Austruca occidentalis,3.7,0.37,38
2019,Rehabilitated,Austruca occidentalis,6.5,0.65,51
2019,Reference,Paraleptuca chlorophthalmus,9.2,0.92,50
2019,Degraded,Paraleptuca chlorophthalmus,0.6,0.06,38
2019,Rehabilitated,Paraleptuca chlorophthalmus,3.5,0.35,51
2019,Reference,Perisesarma guttatum,7.9,0.79,50
2019,Degraded,Perisesarma guttatum,0.2,0.02,38
2019,Rehabilitated,Perisesarma guttatum,1.5,0.15,51
2019,Reference,Neosarmatium africanum,3.8,0.38,50
2019,Degraded,Neosarmatium africanum,0,0,38
2019,Rehabilitated,Neosarmatium africanum,0.5,0.05,51
2019,Reference,Tubuca urvillei,2.2,0.22,50
2019,Degraded,Tubuca urvillei,0.5,0.05,38
2019,Rehabilitated,Tubuca urvillei,0.8,0.08,51
2020,Reference,Austruca occidentalis,14.4,1.44,55
2020,Degraded,Austruca occidentalis,3.9,0.39,40
2020,Rehabilitated,Austruca occidentalis,7.2,0.72,48
2020,Reference,Paraleptuca chlorophthalmus,9.7,0.97,55
2020,Degraded,Paraleptuca chlorophthalmus,0.5,0.05,40
2020,Rehabilitated,Paraleptuca chlorophthalmus,4.8,0.48,48
2020,Reference,Perisesarma guttatum,7.4,0.74,55
2020,Degraded,Perisesarma guttatum,0.1,0.01,40
2020,Rehabilitated,Perisesarma guttatum,2.5,0.25,48
2020,Reference,Neosarmatium africanum,4.3,0.43,55
2020,Degraded,Neosarmatium africanum,0,0,40
2020,Rehabilitated,Neosarmatium africanum,0.9,0.09,48
2020,Reference,Tubuca urvillei,2,0.2,55
2020,Degraded,Tubuca urvillei,0.5,0.05,40
2020,Rehabilitated,Tubuca urvillei,1,0.1,48
2021,Reference,Austruca occidentalis,14.7,1.47,52
2021,Degraded,Austruca occidentalis,4,0.4,36
2021,Rehabilitated,Austruca occidentalis,8.5,0.85,47
2021,Reference,Paraleptuca chlorophthalmus,9.3,0.93,52
2021,Degraded,Paraleptuca chlorophthalmus,0.6,0.06,36
2021,Rehabilitated,Paraleptuca chlorophthalmus,6.2,0.62,47
2021,Reference,Perisesarma guttatum,7.7,0.77,52
2021,Degraded,Perisesarma guttatum,0.1,0.01,36
2021,Rehabilitated,Perisesarma guttatum,3.8,0.38,47
2021,Reference,Neosarmatium africanum,4,0.4,52
2021,Degraded,Neosarmatium africanum,0,0,36
2021,Rehabilitated,Neosarmatium africanum,1.5,0.15,47
2021,Reference,Tubuca urvillei,2.1,0.21,52
2021,Degraded,Tubuca urvillei,0.4,0.04,36
2021,Rehabilitated,Tubuca urvillei,1.1,0.11,47
2022,Reference,Austruca occidentalis,14.3,1.43,49
2022,Degraded,Austruca occidentalis,3.8,0.38,34
2022,Rehabilitated,Austruca occidentalis,9.8,0.98,53
2022,Reference,Paraleptuca chlorophthalmus,9.5,0.95,49
2022,Degraded,Paraleptuca chlorophthalmus,0.5,0.05,34
2022,Rehabilitated,Paraleptuca chlorophthalmus,7.5,0.75,53
2022,Reference,Perisesarma guttatum,7.6,0.76,49
2022,Degraded,Perisesarma guttatum,0.2,0.02,34
2022,Rehabilitated,Perisesarma guttatum,5.2,0.52,53
2022,Reference,Neosarmatium africanum,4.2,0.42,49
2022,Degraded,Neosarmatium africanum,0,0,34
2022,Rehabilitated,Neosarmatium africanum,2.2,0.22,53
2022,Reference,Tubuca urvillei,1.9,0.19,49
2022,Degraded,Tubuca urvillei,0.6,0.06,34
2022,Rehabilitated,Tubuca urvillei,1.3,0.13,53
2023,Reference,Austruca occidentalis,14.5,1.45,47
2023,Degraded,Austruca occidentalis,3.7,0.37,31
2023,Rehabilitated,Austruca occidentalis,11.2,1.12,54
2023,Reference,Paraleptuca chlorophthalmus,9.4,0.94,47
2023,Degraded,Paraleptuca chlorophthalmus,0.7,0.07,31
2023,Rehabilitated,Paraleptuca chlorophthalmus,8.6,0.86,54
2023,Reference,Perisesarma guttatum,7.8,0.78,47
2023,Degraded,Perisesarma guttatum,0.1,0.01,31
2023,Rehabilitated,Perisesarma guttatum,6.5,0.65,54
2023,Reference,Neosarmatium africanum,3.9,0.39,47
2023,Degraded,Neosarmatium africanum,0,0,31
2023,Rehabilitated,Neosarmatium africanum,3.1,0.31,54
2023,Reference,Tubuca urvillei,2,0.2,47
2023,Degraded,Tubuca urvillei,0.5,0.05,31
2023,Rehabilitated,Tubuca urvillei,1.5,0.15,54
2024,Reference,Austruca occidentalis,14.6,1.46,51
2024,Degraded,Austruca occidentalis,3.9,0.39,37
2024,Rehabilitated,Austruca occidentalis,12.5,1.25,50
2024,Reference,Paraleptuca chlorophthalmus,9.6,0.96,51
2024,Degraded,Paraleptuca chlorophthalmus,0.6,0.06,37
2024,Rehabilitated,Paraleptuca chlorophthalmus,9.2,0.92,50
2024,Reference,Perisesarma guttatum,7.5,0.75,51
2024,Degraded,Perisesarma guttatum,0.1,0.01,37
2024,Rehabilitated,Perisesarma guttatum,7.2,0.72,50
2024,Reference,Neosarmatium africanum,4.1,0.41,51
2024,Degraded,Neosarmatium africanum,0,0,37
2024,Rehabilitated,Neosarmatium africanum,3.8,0.38,50
2024,Reference,Tubuca urvillei,2.2,0.22,51
2024,Degraded,Tubuca urvillei,0.4,0.04,37
2024,Rehabilitated,Tubuca urvillei,1.8,0.18,50
2025,Reference,Austruca occidentalis,14.4,1.44,53
2025,Degraded,Austruca occidentalis,3.8,0.38,39
2025,Rehabilitated,Austruca occidentalis,13.8,1.38,56
2025,Reference,Paraleptuca chlorophthalmus,9.5,0.95,53
2025,Degraded,Paraleptuca chlorophthalmus,0.5,0.05,39
2025,Rehabilitated,Paraleptuca chlorophthalmus,9.4,0.94,56
2025,Reference,Perisesarma guttatum,7.7,0.77,53
2025,Degraded,Perisesarma guttatum,0.1,0.01,39
2025,Rehabilitated,Perisesarma guttatum,7.5,0.75,56
2025,Reference,Neosarmatium africanum,4,0.4,53
2025,Degraded,Neosarmatium africanum,0,0,39
2025,Rehabilitated,Neosarmatium africanum,4.1,0.41,56
2025,Reference,Tubuca urvillei,2.1,0.21,53
2025,Degraded,Tubuca urvillei,0.5,0.05,39
2025,Rehabilitated,Tubuca urvillei,2,0.2,56
