Country_name,Location_name,Location_lat,Location_long,Year,Site_Type,Species,Density,SE,Samples_n,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Reference,Austruca occidentalis,14.5,1.45,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Degraded,Austruca occidentalis,0,0,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Rehabilitated,Austruca occidentalis,12.8,0.38,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Reference,Paraleptuca chlorophthalmus,9.5,0.95,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Degraded,Paraleptuca chlorophthalmus,0,0,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Rehabilitated,Paraleptuca chlorophthalmus,10.4,0.05,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Reference,Perisesarma guttatum,3,0.26,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Degraded,Perisesarma guttatum,23,5.82,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Rehabilitated,Perisesarma guttatum,14,3,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Reference,Neosarmatium africanum,0,0,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Degraded,Neosarmatium africanum,3,0.56,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Rehabilitated,Neosarmatium africanum,0,0,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Reference,Tubuca urvillei,2,0.2,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Degraded,Tubuca urvillei,0,0,6,,,,,,,,,,
South Africa,Bayhead ,-29.8896064,31.0125925,2026,Rehabilitated,Tubuca urvillei,0.4,0.2,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Reference,Austruca occidentalis,8.2,1.42,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Degraded,Austruca occidentalis,13,5.3,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Rehabilitated,Austruca occidentalis,6.8,2.45,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Reference,Paraleptuca chlorophthalmus,3,0.98,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Degraded,Paraleptuca chlorophthalmus,0,0,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Rehabilitated,Paraleptuca chlorophthalmus,4,0.08,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Reference,Perisesarma guttatum,5,0.72,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Degraded,Perisesarma guttatum,8,0.02,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Rehabilitated,Perisesarma guttatum,6,0.02,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Reference,Neosarmatium africanum,0,0,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Degraded,Neosarmatium africanum,0.6,0.1,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Rehabilitated,Neosarmatium africanum,0,0,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Reference,Tubuca urvillei,1.9,0.19,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Degraded,Tubuca urvillei,0,0,6,,,,,,,,,,
South Africa,Mngazana,-31.6896315,29.4175076,2026,Rehabilitated,Tubuca urvillei,3,0.05,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Reference,Australoplax tridentata,22.4,1.85,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Degraded,Australoplax tridentata,1.2,0.3,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Rehabilitated,Australoplax tridentata,15.6,1.4,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Reference,Tubuca polita,18.1,1.55,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Degraded,Tubuca polita,0,0,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Rehabilitated,Tubuca polita,11.3,0.95,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Reference,Tubuca bellator / signata,14.5,1.2,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Degraded,Tubuca bellator / signata,0.5,0.15,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Rehabilitated,Tubuca bellator / signata,8.7,0.8,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Reference,Parasesarma spp.,3.5,0.45,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Degraded,Parasesarma spp.,1.8,0.25,6,,,,,,,,,,
Australia,Annandale,-19.3031126,146.7986241,2021,Rehabilitated,Parasesarma spp.,2.9,0.35,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Reference,Ucides occidentalis,15.2,1.35,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Degraded,Ucides occidentalis,0.8,0.15,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Rehabilitated,Ucides occidentalis,10.5,0.92,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Reference,Leptuca beebei,28.4,2.1,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Degraded,Leptuca beebei,0,0,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Rehabilitated,Leptuca beebei,19.3,1.65,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Reference,Aratus pisonii,8.7,0.85,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Degraded,Aratus pisonii,1.2,0.3,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Rehabilitated,Aratus pisonii,4.6,0.6,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Reference,Goniopsis pulchra,6.5,0.7,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Degraded,Goniopsis pulchra,0.5,0.1,6,,,,,,,,,,
Costa Rica,Punta Flor,10.11642424,-85.1905803,2026,Rehabilitated,Goniopsis pulchra,5.2,0.55,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Reference,Tubuca bellator,3.9,0.42,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Degraded,Tubuca bellator,0.2,0.05,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Rehabilitated,Tubuca bellator,2.1,0.28,6,,,,,,,,,,
Philippines,Honda Bay,9.8362359,118.7445152,2026,Reference,Parasesarma sp.,3.6,0.38,6,,,,,,,,,,
